time_ticks,throughput_ticks
0.020064,0.001600
0.081856,0.003200
0.082688,0.004800
0.144448,0.006400
0.145280,0.008000
0.146112,0.009600
0.146944,0.011200
0.207040,0.012800
0.207872,0.014400
0.208704,0.056000
0.209536,0.097600
0.210368,0.139200
0.211200,0.180800
0.212032,0.222400
0.212864,0.264000
0.220064,0.262400
0.269632,0.304000
0.270464,0.345600
0.271296,0.387200
0.272128,0.428800
0.272960,0.470400
0.273792,0.512000
0.274624,0.553600
0.275456,0.595200
0.276288,0.636800
0.277120,0.678400
0.277952,0.720000
0.278784,0.761600
0.279616,0.803200
0.280448,0.844800
0.281280,0.886400
0.281856,0.884800
0.282112,0.926400
0.282688,0.924800
0.332224,0.966400
0.333056,1.008000
0.333888,1.049600
0.334720,1.091200
0.335552,1.132800
0.336384,1.174400
0.337216,1.216000
0.338048,1.257600
0.338880,1.299200
0.339712,1.340800
0.340544,1.382400
0.341376,1.424000
0.342208,1.465600
0.343040,1.507200
0.343872,1.548800
0.344448,1.547200
0.344704,1.588800
0.345280,1.587200
0.345536,1.628800
0.346112,1.627200
0.346368,1.668800
0.346944,1.667200
0.347200,1.708800
0.348032,1.750400
0.348864,1.792000
0.349696,1.833600
0.350528,1.875200
0.351360,1.916800
0.352192,1.958400
0.353024,2.000000
0.353856,2.041600
0.354688,2.083200
0.355520,2.124800
0.356352,2.166400
0.357184,2.208000
0.358016,2.249600
0.394816,2.291200
0.395648,2.332800
0.396480,2.374400
0.397312,2.416000
0.398144,2.457600
0.398976,2.499200
0.399808,2.540800
0.400640,2.582400
0.401472,2.624000
0.402304,2.665600
0.403136,2.707200
0.403968,2.748800
0.404800,2.790400
0.405632,2.832000
0.406464,2.873600
0.407040,2.872000
0.407296,2.913600
0.407872,2.912000
0.408128,2.953600
0.408704,2.912000
0.408960,2.953600
0.409536,2.912000
0.409792,2.953600
0.410368,2.912000
0.410624,2.953600
0.411200,2.912000
0.411456,2.953600
0.412032,2.912000
0.412288,2.953600
0.412864,2.912000
0.413120,2.953600
0.413952,2.995200
0.414784,3.036800
0.415616,3.078400
0.416448,3.120000
0.417280,3.161600
0.418112,3.203200
0.418944,3.244800
0.419776,3.286400
0.420608,3.328000
0.421440,3.369600
